"","Glottocode","Family","InventoryID","Phonemes","Nonlabiodental.phonemes","Fricatives","Nonlabiodental.Fricatives","Labiodentals","Subsistence.AUTOTYP","Subsistence.TOM","Area","Latitude","Longitude","has.labiodentals","Dist"
"720","arag1245","Indo-European [indo1319]",1055,45,44,5,4,1,NA,"AGR","W and SW Eurasia",42.4669,-0.00919,TRUE,9442.94352127466
"721","arbe1236","Indo-European [indo1319]",2438,36,34,10,8,2,NA,"AGR","W and SW Eurasia",38.911,16.7164,TRUE,7988.61907465371
"722","arch1244","Nakh-Daghestanian [nakh1245]",228,91,91,32,32,0,NA,"AGR","W and SW Eurasia",42.3239,46.8267,FALSE,8168.82146780061
"723","assa1263","Indo-European [indo1319]",2159,33,33,4,4,0,NA,"AGR","S/SE Asia",26.0876,91.2932,FALSE,12044.6012454488
"724","astu1245","Indo-European [indo1319]",2516,26,25,NA,NA,1,NA,"AGR","W and SW Eurasia",42.4181,-6.02227,TRUE,9924.99598682484
"725","atay1247","Austronesian [aust1307]",30,27,27,6,6,0,NA,"AGR","S/SE Asia",24.5209,121.388,FALSE,14899.2001188447
"726","avar1256","Nakh-Daghestanian [nakh1245]",2467,64,64,NA,NA,0,NA,"AGR","W and SW Eurasia",41.7047,46.558,FALSE,8107.07916150191
"727","awad1243","Indo-European [indo1319]",1707,45,45,3,3,0,NA,"AGR","S/SE Asia",27.5907,82.4663,FALSE,11157.6162024068
"728","axiy1235","Sino-Tibetan [sino1245]",2560,52,50,NA,NA,2,NA,"AGR","S/SE Asia",24.6009,103.713,TRUE,13271.9975029454
"729","bada1257","Dravidian [drav1251]",1708,38,37,5,4,1,NA,"AGR","S/SE Asia",11.3094,76.5974,TRUE,11310.4514023793
"730","baim1244","Sino-Tibetan [sino1245]",2346,66,66,NA,NA,0,NA,"AGR","S/SE Asia",33.1001,103.952,FALSE,12964.2304752196
"731","bakh1245","Indo-European [indo1319]",2249,36,34,NA,NA,2,NA,"AGR","W and SW Eurasia",32.0163,49.7713,TRUE,7972.90233097805
"732","bali1278","Austronesian [aust1307]",1693,24,24,2,2,0,NA,"AGR","S/SE Asia",-8.35714,115.075,FALSE,16078.176717881
"733","balt1258","Sino-Tibetan [sino1245]",2306,40,40,7,7,0,NA,"AGR","S/SE Asia",34.4491,77.2859,FALSE,10525.0383437938
"734","bash1264","Turkic [turk1311]",2500,39,37,NA,NA,2,NA,"AGR","N-C Asia",53.5967,56.5594,TRUE,9551.77424455768
"735","basq1248","Basque [basq1248][eus]",2161,35,34,NA,NA,1,"AGR","AGR","W and SW Eurasia",43.2787,-1.31622,TRUE,9569.72191390497
"736","bata1289","Austronesian [aust1307]",1099,27,27,2,2,0,NA,"AGR","S/SE Asia",2.35498,99.1761,FALSE,13954.9721191782
"737","bata1293","Austronesian [aust1307]",1665,24,24,2,2,0,NA,"AGR","S/SE Asia",2.12787,98.2517,FALSE,13880.2367459804
"738","bats1242","Nakh-Daghestanian [nakh1245]",2390,51,50,NA,NA,1,NA,"AGR","W and SW Eurasia",42.1806,45.344,TRUE,8068.17536883284
"739","bela1260","Austronesian [aust1307]",1669,25,25,3,3,0,NA,"AGR","S/SE Asia",4.96207,114.933,FALSE,15323.6366346117
"740","belh1239","Sino-Tibetan [sino1245]",2236,36,36,2,2,0,"AGR","AGR","S/SE Asia",26.9972,87.2783,FALSE,11633.0091829391
"741","beng1280","Indo-European [indo1319]",2162,72,71,NA,NA,1,NA,"AGR","S/SE Asia",24,90,TRUE,11998.9017057826
