"","Glottocode","Family","InventoryID","Phonemes","Nonlabiodental.phonemes","Fricatives","Nonlabiodental.Fricatives","Labiodentals","Subsistence.AUTOTYP","Subsistence.TOM","Area","Latitude","Longitude","has.labiodentals","Dist"
"1","aari1239","South Omotic [sout2845]",1483,36,35,6,5,1,NA,"AGR","Africa",5.95034,36.5721,TRUE,3830.67867613363
"2","abar1238","Atlantic-Congo [atla1278]",1617,36,35,4,3,1,NA,"AGR","Africa",6.5805,10.2267,TRUE,3841.10553641291
"3","abid1235","Atlantic-Congo [atla1278]",1526,38,37,3,2,1,NA,"AGR","Africa",5.65656,-4.58421,TRUE,4572.11004805606
"4","abua1244","Atlantic-Congo [atla1278]",1297,40,38,7,5,2,NA,"AGR","Africa",4.83057,6.61492,TRUE,3820.86581837042
"5","abur1243","Atlantic-Congo [atla1278]",1521,38,36,4,2,2,NA,"AGR","Africa",5.21534,-3.64123,TRUE,4468.75217969575
"6","ache1245","Narrow Talodi [narr1279]",1428,38,38,1,1,0,NA,"AGR","Africa",10.8827,30.3187,FALSE,4153.94923370278
"7","acol1236","Nilotic [nilo1247]",1433,29,29,0,0,0,NA,"AGR","Africa",3.57738,32.5147,FALSE,3430.35663530021
"8","adam1253","Atlantic-Congo [atla1278]",1234,36,36,4,4,0,"AGR","AGR","Africa",8.140326,13.077338,FALSE,3910.08589365138
"9","adan1247","Atlantic-Congo [atla1278]",692,39,37,5,3,2,NA,"AGR","Africa",5.9437,0.13243,TRUE,4287.79916369383
"10","adio1239","Atlantic-Congo [atla1278]",1527,32,31,3,2,1,NA,"AGR","Africa",5.38228,-4.52522,TRUE,4544.42790465155
"11","afad1236","Afro-Asiatic [afro1255]",198,36,34,5,4,2,NA,"AGR","Africa",12.0551,14.6343,TRUE,4291.64879535597
"12","afar1241","Afro-Asiatic [afro1255]",1342,27,26,5,4,1,NA,"AGR","Africa",12.2281,41.8083,TRUE,4699.99176733917
"13","afit1238","Nyimang [nyim1244]",1295,26,25,2,1,1,NA,"AGR","Africa",12.446,30.7611,TRUE,4333.01369987042
"14","aghe1239","Atlantic-Congo [atla1278]",1524,49,45,5,3,4,NA,"AGR","Africa",6.38956,10.0807,TRUE,3826.88979267228
"15","ahan1243","Atlantic-Congo [atla1278]",1400,40,39,5,4,1,NA,"AGR","Africa",4.85147,-1.94657,TRUE,4322.26970980316
"16","ahan1244","Atlantic-Congo [atla1278]",1544,43,41,7,5,2,NA,"AGR","Africa",7.44139,6.00896,TRUE,4109.88615263252
"17","ajab1235","Atlantic-Congo [atla1278]",651,45,43,9,7,2,NA,"AGR","Africa",7.06634,1.64992,TRUE,4302.42622008242
"18","ajas1235","Kresh-Aja [kres1240]",1250,48,45,11,9,3,NA,"AGR","Africa",8.58003,25.6122,TRUE,3829.68056069608
"19","akan1250","Atlantic-Congo [atla1278]",1245,60,59,6,5,1,NA,"AGR","Africa",6.34756,-1.33254,TRUE,4416.27795980957
"20","akas1242","Atlantic-Congo [atla1278]",1572,52,51,2,1,1,NA,"AGR","Africa",8.8858,1.37035,TRUE,4491.03842765138
"21","akoo1248","Atlantic-Congo [atla1278]",1554,32,32,3,3,0,NA,"AGR","Africa",4.9243,9.65522,FALSE,3692.72277505293
"22","akpe1248","Atlantic-Congo [atla1278]",1532,34,33,5,4,1,NA,"AGR","Africa",7.50256,5.95559,TRUE,4118.53021144006
"23","alab1254","Afro-Asiatic [afro1255]",1451,62,60,12,10,2,NA,"AGR","Africa",7.39014,38.1732,TRUE,4046.68605229963
"24","alla1248","Atlantic-Congo [atla1278]",1529,36,34,6,4,2,NA,"AGR","Africa",5.22371,-4.42647,TRUE,4523.91591776628
"25","amas1236","Nyimang [nyim1244]",504,25,25,1,1,0,NA,"AGR","Africa",12.0993,29.4332,FALSE,4268.57887258919
"26","ambe1247","Atlantic-Congo [atla1278]",1091,51,50,6,5,1,NA,"AGR","Africa",5.94043,9.62028,TRUE,3798.63855320143
"27","amha1245","Afro-Asiatic [afro1255]",2156,68,64,NA,NA,4,NA,"AGR","Africa",11.708182,39.543456,TRUE,4544.49271223693
"28","amoo1242","Atlantic-Congo [atla1278]",220,35,33,6,4,2,NA,"AGR","Africa",10.3229,8.65405,TRUE,4289.38237916161
"29","anfi1235","Ta-Ne-Omotic [gong1255]",1661,48,48,4,4,0,NA,"AGR","Africa",8.568,34.647,FALSE,4028.05128504515
"30","ango1258","Indo-European [indo1319]",1551,36,34,6,4,2,NA,"AGR","Africa",0.11438,6.59486,TRUE,3361.385752578
"31","anii1245","Atlantic-Congo [atla1278]",1658,36,35,4,3,1,NA,"AGR","Africa",9.11127,1.60169,TRUE,4499.78433377961
"32","anua1242","Nilotic [nilo1247]",1165,47,47,0,0,0,NA,"AGR","Africa",7.57714,34.0267,FALSE,3902.62921522382
"33","anuf1239","Atlantic-Congo [atla1278]",1246,59,56,9,6,3,NA,"AGR","Africa",10.2839,0.56021,TRUE,4669.41500648659
"34","anyi1244","Atlantic-Congo [atla1278]",1244,49,46,7,4,3,NA,"AGR","Africa",6.1627,-4.64232,TRUE,4619.76717826727
"35","anyi1245","Atlantic-Congo [atla1278]",1242,40,39,3,2,1,NA,"AGR","Africa",6.31781,-3.30532,TRUE,4542.3691164385
"36","apro1235","Atlantic-Congo [atla1278]",205,33,31,6,4,2,NA,"AGR","Africa",5.20273,-4.52192,TRUE,4528.79840569295
"37","arbo1245","Afro-Asiatic [afro1255]",1525,59,57,8,6,2,NA,"AGR","Africa",4.92183,36.7986,TRUE,3735.64463036086
"38","argo1244","Afro-Asiatic [afro1255]",1396,38,37,7,6,1,NA,"AGR","Africa",10.6596,39.756,TRUE,4447.81711645747
"39","arin1244","Central Sudanic [cent2225]",1425,49,46,5,2,3,NA,"AGR","Africa",3.56143,31.3071,TRUE,3390.81002197987
"40","ashe1269","Atlantic-Congo [atla1278]",1530,36,35,6,5,1,NA,"AGR","Africa",9.36574,7.39443,TRUE,4241.87528930584
"41","atti1239","Atlantic-Congo [atla1278]",1550,47,45,5,3,2,NA,"AGR","Africa",5.9977,-3.8209,TRUE,4549.0997963713
"42","avat1244","Atlantic-Congo [atla1278]",1296,50,48,10,8,2,NA,"AGR","Africa",6.8688,0.41314,TRUE,4356.32420948404
"43","avik1243","Atlantic-Congo [atla1278]",1358,34,32,7,5,2,NA,"AGR","Africa",5.15838,-5.2529,TRUE,4576.65883141281
"44","avok1242","Central Sudanic [cent2225]",660,55,52,6,3,3,NA,"AGR","Africa",4.38639,29.9379,TRUE,3442.41715838829
"45","awin1248","Atlantic-Congo [atla1278]",1176,56,55,10,9,1,NA,"AGR","Africa",5.88362,10.264,TRUE,3767.37656573446
"46","awng1244","Afro-Asiatic [afro1255]",1542,39,38,6,5,1,NA,"AGR","Africa",10.9819,36.6916,TRUE,4354.11513947291
"47","awut1241","Atlantic-Congo [atla1278]",1523,50,48,5,4,2,NA,"AGR","Africa",5.42441,-0.59545,TRUE,4285.83655932693
"48","ayer1245","Atlantic-Congo [atla1278]",1545,43,41,7,5,2,NA,"AGR","Africa",7.52206,6.01979,TRUE,4117.42409699714
"49","baan1242","Atlantic-Congo [atla1278]",741,56,54,6,4,2,NA,"AGR","Africa",10.8083,5.7261,TRUE,4460.95196005327
"50","baat1238","Atlantic-Congo [atla1278]",669,31,30,3,2,1,NA,"AGR","Africa",9.63186,2.99607,TRUE,4475.74388605337
"51","baba1264","Atlantic-Congo [atla1278]",1178,30,28,7,5,2,NA,"AGR","Africa",6.11222,10.5216,TRUE,3781.28146490402
"52","baba1266","Atlantic-Congo [atla1278]",1179,33,29,7,5,4,NA,"AGR","Africa",5.97863,10.2869,TRUE,3776.34427893204
"53","bade1248","Afro-Asiatic [afro1255]",1437,46,44,11,9,2,NA,"AGR","Africa",12.789,10.6557,TRUE,4477.57398506447
"54","bady1239","Atlantic-Congo [atla1278]",1329,43,42,5,4,1,NA,"AGR","Africa",12.6425,-13.4759,TRUE,5794.59055120176
"55","bafa1247","Atlantic-Congo [atla1278]",926,47,46,3,2,1,NA,"AGR","Africa",4.53307,9.522,TRUE,3658.17098788543
"56","bafa1249","Atlantic-Congo [atla1278]",1656,59,57,4,3,2,NA,"AGR","Africa",5.84612,10.4518,TRUE,3756.27971652596
"57","bafi1243","Atlantic-Congo [atla1278]",1258,48,46,5,3,2,NA,"AGR","Africa",4.72603,11.0982,TRUE,3615.40460364234
"58","bafu1246","Atlantic-Congo [atla1278]",662,49,48,6,5,1,NA,"AGR","Africa",6.14153,10.1194,TRUE,3799.69349263367
"59","baga1272","Atlantic-Congo [atla1278]",1199,26,25,3,2,1,NA,"AGR","Africa",10.4793,-14.4756,TRUE,5695.48284321845
"60","baga1273","Atlantic-Congo [atla1278]",1060,25,24,2,1,1,NA,"AGR","Africa",10.1286,-13.947,TRUE,5627.29967245074
"61","bagi1246","Central Sudanic [cent2225]",1469,48,46,7,5,2,NA,"AGR","Africa",11.52392,14.769495,TRUE,4231.12238271805
"62","baka1272","Atlantic-Congo [atla1278]",1574,35,35,3,3,0,"HG","HG","Africa",2.16013,13.7804,FALSE,3252.68577300796
"63","baka1273","Atlantic-Congo [atla1278]",1555,34,34,4,4,0,NA,"AGR","Africa",4.79991,9.80402,FALSE,3673.82916304132
"64","baka1274","Central Sudanic [cent2225]",1249,46,43,11,9,3,NA,"AGR","Africa",4.65943,29.59,TRUE,3463.63806890408
"65","bako1249","Atlantic-Congo [atla1278]",1180,33,32,4,3,1,NA,"AGR","Africa",3.56518,9.99905,TRUE,3539.06351136999
"66","bako1250","Atlantic-Congo [atla1278]",914,34,33,4,3,1,NA,"AGR","Africa",4.43654,8.97387,TRUE,3671.79750405233
"67","bala1302","Atlantic-Congo [atla1278]",1391,50,48,6,4,2,NA,"AGR","Africa",12.5382,-15.6658,TRUE,5949.26515930885
"68","bamb1262","Mao [maoo1243]",1349,36,36,4,4,0,NA,"AGR","Africa",9.82554,34.6522,FALSE,4160.42490121222
"69","bamb1265","Atlantic-Congo [atla1278]",1204,57,55,6,4,2,NA,"AGR","Africa",5.861,10.544,TRUE,3754.32113328264
"70","bamb1269","Mande [mand1469]",1496,58,55,6,3,3,NA,"AGR","Africa",12.0401,-9.98949,TRUE,5494.87452402433
"71","bame1260","Atlantic-Congo [atla1278]",934,50,47,12,10,3,NA,"AGR","Africa",5.77049,10.3302,TRUE,3753.09570309681
"72","bamu1253","Atlantic-Congo [atla1278]",1009,38,35,8,6,3,NA,"AGR","Africa",5.49017,10.8477,TRUE,3704.32132388081
"73","bamu1256","Atlantic-Congo [atla1278]",1182,32,30,7,5,2,NA,"AGR","Africa",6.00203,10.5127,TRUE,3770.16240667968
"74","bana1305","Afro-Asiatic [afro1255]",1248,44,41,10,8,3,NA,"AGR","Africa",10.3535,13.6131,TRUE,4132.50558685401
"75","band1345","Atlantic-Congo [atla1278]",665,45,41,8,5,4,NA,"AGR","Africa",8.03339,23.9021,TRUE,3758.58199780963
"76","band1352","Mande [mand1469]",667,48,46,5,3,2,NA,"AGR","Africa",7.73729,-10.1684,TRUE,5149.7198963085
"77","bang1356","Atlantic-Congo [atla1278]",1183,40,38,9,7,2,NA,"AGR","Africa",6.0125,10.667,TRUE,3765.44914727232
"78","bank1256","Atlantic-Congo [atla1278]",1522,37,36,2,1,1,NA,"AGR","Africa",4.3702,9.6403,TRUE,3636.53322775118
"79","baou1238","Atlantic-Congo [atla1278]",1100,23,22,2,1,1,NA,"AGR","Africa",5.42509,-4.76565,TRUE,4564.93335736346
"80","bare1279","Afro-Asiatic [afro1255]",1612,41,41,2,2,0,NA,"AGR","Africa",11.1168,18.0764,FALSE,4128.22523429504
"81","basa1284","Atlantic-Congo [atla1278]",670,41,39,4,2,2,NA,"AGR","Africa",3.80765,10.4213,TRUE,3546.6291616757
"82","bass1258","Atlantic-Congo [atla1278]",1453,30,29,3,2,1,NA,"AGR","Africa",12.4529,-13.3495,TRUE,5769.83874279359
"83","bass1260","Atlantic-Congo [atla1278]",1559,34,34,3,3,0,NA,"AGR","Africa",5.23655,9.52275,FALSE,3730.23859722328
"84","bata1285","Atlantic-Congo [atla1278]",1184,31,29,3,1,2,NA,"AGR","Africa",1.397041,9.51011,TRUE,3340.07738485508
"85","beem1239","Atlantic-Congo [atla1278]",144,41,37,4,2,4,NA,"AGR","Africa",-3.95895,14.1,TRUE,2598.73908803791
"86","befa1241","Atlantic-Congo [atla1278]",1186,59,55,10,6,4,NA,"AGR","Africa",6.27562,10.0342,TRUE,3816.886296209
"87","beja1238","Afro-Asiatic [afro1255]",249,26,25,4,3,1,NA,"AGR","Africa",17.2436,36.6666,TRUE,5008.42457968817
"88","bekw1241","Atlantic-Congo [atla1278]",674,36,35,4,3,1,NA,"AGR","Africa",6.73737,8.86489,TRUE,3911.4006311744
"89","bela1255","Atlantic-Congo [atla1278]",1435,43,40,6,3,3,NA,"AGR","Africa",7.41311,27.6956,TRUE,3726.88325572889
"90","bela1256","Nilotic [nilo1247]",1434,38,37,1,0,1,NA,"AGR","Africa",6.6503,27.8232,TRUE,3645.45312043612
"91","bemb1257","Atlantic-Congo [atla1278]",1188,25,24,4,3,1,NA,"AGR","Africa",-10.6122,29.2993,TRUE,1830.69141734516
"92","bena1262","Atlantic-Congo [atla1278]",1513,34,32,5,3,2,NA,"AGR","Africa",-9.26671,35.0364,TRUE,2256.22644366729
"93","benc1235","Ta-Ne-Omotic [gong1255]",1477,56,56,10,10,0,NA,"AGR","Africa",7.04682,35.7673,FALSE,3910.76941841331
"94","beng1286","Mande [mand1469]",676,49,47,5,3,2,NA,"AGR","Africa",7.78122,-4.23539,TRUE,4733.41468488494
"95","bero1242","Atlantic-Congo [atla1278]",675,31,29,6,4,2,NA,"AGR","Africa",9.67037,8.81221,TRUE,4215.72171995377
"96","bert1248","Berta [bert1248][wti]",621,29,29,6,6,0,NA,"AGR","Africa",10.6474,34.7042,FALSE,4248.74628226247
"97","bhel1238","Atlantic-Congo [atla1278]",677,28,28,2,2,0,NA,"AGR","Africa",0.24553,28.6681,FALSE,2964.91641659614
"98","bial1238","Atlantic-Congo [atla1278]",678,27,26,3,2,1,NA,"AGR","Africa",11.0382,1.08259,TRUE,4713.04090147505
"99","bidy1244","Atlantic-Congo [atla1278]",1494,25,25,1,1,0,NA,"AGR","Africa",11.1097,-16.1497,FALSE,5873.9267075822
"100","bila1255","Atlantic-Congo [atla1278]",1251,33,33,3,3,0,NA,"AGR","Africa",1.16839,28.7626,FALSE,3066.93441536874
"101","bili1260","Afro-Asiatic [afro1255]",1332,38,37,9,8,1,NA,"AGR","Africa",15.7833,38.3917,TRUE,4916.19122338978
"102","bimo1239","Atlantic-Congo [atla1278]",679,44,43,3,2,1,NA,"AGR","Africa",10.4575,0.06121,TRUE,4713.86729088381
"103","bini1246","Atlantic-Congo [atla1278]",704,48,46,8,6,2,NA,"AGR","Africa",6.40701,5.70426,TRUE,4021.87676381242
"104","biss1248","Mande [mand1469]",680,41,39,5,3,2,NA,"AGR","Africa",10.4257,-1.67332,TRUE,4811.36627815252
"105","boko1266","Mande [mand1469]",682,34,32,5,3,2,NA,"AGR","Africa",10.5189,3.71771,TRUE,4526.43238014248
"106","bomi1238","Atlantic-Congo [atla1278]",1511,28,26,4,2,2,NA,"AGR","Africa",1.70044,17.3733,TRUE,3109.81641863671
"107","bong1285","Central Sudanic [cent2225]",1196,29,27,3,2,2,NA,"AGR","Africa",7.4145,27.9918,TRUE,3731.79832041652
"108","bora1271","Afro-Asiatic [afro1255]",1362,36,35,5,4,1,NA,"AGR","Africa",1.05676,37.882,TRUE,3401.29161035004
"109","boro1277","Ta-Ne-Omotic [gong1255]",1197,25,25,3,3,0,NA,"AGR","Africa",10.6596,35.345,FALSE,4271.74878358881
"110","boun1243","Atlantic-Congo [atla1278]",1607,46,44,8,6,2,NA,"AGR","Africa",8.46011,-2.74627,TRUE,4697.15765367752
"111","buam1238","Atlantic-Congo [atla1278]",1603,28,26,5,3,2,NA,"AGR","Africa",11.1687,-3.50303,TRUE,4990.6066647519
"112","budu1250","Atlantic-Congo [atla1278]",1336,43,40,5,2,3,NA,"AGR","Africa",2.00501,27.951,TRUE,3140.68914401878
"113","buku1249","Atlantic-Congo [atla1278]",1201,30,29,4,3,1,NA,"AGR","Africa",0.68043,34.7719,TRUE,3215.85063507529
"114","buli1254","Atlantic-Congo [atla1278]",1390,46,44,4,2,2,NA,"AGR","Africa",10.5763,-1.26748,TRUE,4801.44092922661
"115","bull1247","Atlantic-Congo [atla1278]",1322,36,34,5,3,2,NA,"AGR","Africa",9,-13.16,TRUE,5477.55626098388
"116","bulu1251","Atlantic-Congo [atla1278]",684,36,33,5,2,3,NA,"AGR","Africa",3.16141,11.6365,TRUE,3432.36559910504
"117","bumm1238","Atlantic-Congo [atla1278]",1575,47,45,8,6,2,NA,"AGR","Africa",6.48655,10.418,TRUE,3824.10847525336
"118","burj1242","Afro-Asiatic [afro1255]",1657,36,35,5,4,1,NA,"AGR","Africa",4.44624,38.4646,TRUE,3765.06566404709
"119","buru1301","Nilotic [nilo1247]",1313,38,38,4,4,0,NA,"AGR","Africa",10.725,33.921,FALSE,4231.82328413475
"120","busa1253","Mande [mand1469]",1252,31,29,4,2,2,"HG","AGR","Africa",9.91074,4.39929,TRUE,4432.92120902965
"121","buwa1243","Afro-Asiatic [afro1255]",1402,43,41,10,8,2,NA,"AGR","Africa",10.6151,13.8838,TRUE,4153.77156956586
"122","came1252","Atlantic-Congo [atla1278]",1583,35,32,4,2,3,NA,"AGR","Africa",6.43829,11.41953,TRUE,3782.74562891915
"123","ceba1235","Atlantic-Congo [atla1278]",1256,38,36,6,4,2,NA,"AGR","Africa",9.50768,-6.15264,TRUE,5013.3810005439
"124","cent2018","Atlantic-Congo [atla1278]",713,37,36,3,2,1,NA,"AGR","Africa",15.0907,8.43261,TRUE,4793.93624057819
"125","cent2050","Saharan [saha1256]",150,35,34,7,6,1,NA,"AGR","Africa",11.8863,16.3918,TRUE,4238.41678401832
"126","cent2194","Afro-Asiatic [afro1255]",1609,39,38,17,16,1,"AGR","AGR","Africa",32.7415,-2.40872,TRUE,7017.4979979325
"127","cerm1238","Atlantic-Congo [atla1278]",685,46,44,4,2,2,NA,"AGR","Africa",10.1245,-4.94917,TRUE,4988.02672152195
"128","chee1238","Atlantic-Congo [atla1278]",1068,57,54,7,5,3,NA,"AGR","Africa",10.0031,8.67024,TRUE,4255.65180296887
"129","cher1271","Atlantic-Congo [atla1278]",1323,38,37,5,4,1,NA,"AGR","Africa",6.05387,-0.10955,TRUE,4312.83423855622
"130","chon1287","Atlantic-Congo [atla1278]",1586,47,45,9,7,2,NA,"AGR","Africa",-3.79746,39.7553,TRUE,3049.95266790418
"131","chop1243","Atlantic-Congo [atla1278]",1318,68,62,7,6,6,NA,"AGR","Africa",-24.8327,34.1097,TRUE,1152.18615627394
"132","chum1261","Atlantic-Congo [atla1278]",686,30,29,3,2,1,NA,"AGR","Africa",8.15211,-0.2755,TRUE,4516.80410515589
"133","cros1244","Atlantic-Congo [atla1278]",781,37,34,8,5,3,NA,"AGR","Africa",6.16926,8.23592,TRUE,3880.1367189959
"134","cuvo1236","Afro-Asiatic [afro1255]",866,29,27,7,5,2,NA,"AGR","Africa",10.6448,14.0006,TRUE,4154.07444209816
"135","dagb1246","Atlantic-Congo [atla1278]",139,37,35,6,4,2,NA,"AGR","Africa",9.64745,-0.43227,TRUE,4665.73085236208
"136","dagi1241","Narrow Talodi [narr1279]",1430,26,26,3,3,0,NA,"AGR","Africa",10.583,29.9404,FALSE,4113.45892543563
"137","daha1245","Afro-Asiatic [afro1255]",301,59,57,10,8,2,"HG","HG","Africa",-2.1843,40.37,TRUE,3235.61517176034
"138","dalo1238","Atlantic-Congo [atla1278]",252,37,35,4,2,2,NA,"AGR","Africa",6.69281,-6.63944,TRUE,4805.33989345559
"139","dang1274","Afro-Asiatic [afro1255]",297,28,28,2,2,0,NA,"AGR","Africa",12.1517,18.385,FALSE,4238.04745580958
"140","darf1239","Daju [daju1249]",300,30,30,4,4,0,NA,"AGR","Africa",12.2598,25.3127,FALSE,4233.21846749072
"141","dawr1236","Ta-Ne-Omotic [gong1255]",343,29,28,5,4,1,NA,"AGR","Africa",6.95,37,TRUE,3950.92674140193
"142","daza1242","Saharan [saha1256]",693,32,31,5,4,1,NA,"AGR","Africa",15.7358,15.8517,TRUE,4668.16170157481
"143","defa1248","Ijoid [ijoi1239]",1385,42,40,3,1,2,NA,"AGR","Africa",4.58451,7.50186,TRUE,3753.61603673409
"144","dege1246","Atlantic-Congo [atla1278]",1452,36,35,4,3,1,NA,"AGR","Africa",4.73373,6.80991,TRUE,3801.71124642108
"145","degg1238","Atlantic-Congo [atla1278]",787,52,50,4,2,2,NA,"AGR","Africa",8.43846,-2.28724,TRUE,4666.2291904277
"146","deny1238","Atlantic-Congo [atla1278]",867,30,28,5,3,2,NA,"AGR","Africa",5.97237,9.39989,TRUE,3810.86170090062
"147","dera1248","Afro-Asiatic [afro1255]",420,35,35,2,2,0,NA,"AGR","Africa",10.072,12.0256,FALSE,4146.96297578969
"148","dghw1239","Afro-Asiatic [afro1255]",1299,38,36,10,8,2,NA,"AGR","Africa",11.05751,13.77847,TRUE,4204.04518557223
"149","dibo1245","Atlantic-Congo [atla1278]",1247,31,31,3,3,0,NA,"AGR","Africa",1.07773,17.2305,FALSE,3045.03749086906
"150","didi1258","Surmic [surm1244]",1431,58,57,7,6,1,NA,"AGR","Africa",4.21489,33.6869,TRUE,3537.97010526503
"151","digo1243","Atlantic-Congo [atla1278]",1587,48,46,10,8,2,NA,"AGR","Africa",-4.62101,39.1752,TRUE,2938.41407046357
"152","dime1235","South Omotic [sout2845]",1440,73,71,15,13,2,NA,"AGR","Africa",6.20951,36.3329,TRUE,3847.22493555828
"153","dink1262","Nilotic [nilo1247]",1398,49,49,1,1,0,NA,"AGR","Africa",NA,NA,FALSE,NA
"154","diri1252","Atlantic-Congo [atla1278]",1271,28,26,6,4,2,NA,"AGR","Africa",-18.1681,20.6678,TRUE,884.172634113313
"155","dita1238","Atlantic-Congo [atla1278]",697,32,31,3,2,1,NA,"AGR","Africa",10.1614,1.18045,TRUE,4623.50311664408
"156","dizi1235","Dizoid [dizo1235]",457,30,29,7,6,1,NA,"AGR","Africa",6.1405,35.5763,TRUE,3809.56470700987
"157","domp1238","Atlantic-Congo [atla1278]",1495,31,29,7,5,2,NA,"AGR","Africa",8.182,-2.295,TRUE,4643.43040661535
"158","doya1240","Atlantic-Congo [atla1278]",698,48,46,5,3,2,NA,"AGR","Africa",8.68604,13.0768,TRUE,3968.37346025732
"159","dual1243","Atlantic-Congo [atla1278]",700,33,33,1,1,0,NA,"AGR","Africa",4.10208,9.61877,FALSE,3610.0019598442
"160","duru1249","Atlantic-Congo [atla1278]",1588,47,45,9,7,2,NA,"AGR","Africa",-4.09629,39.322,TRUE,2995.35620813673
"161","dyul1238","Mande [mand1469]",696,39,37,5,3,2,NA,"AGR","Africa",10.4536,-4.72007,TRUE,5002.59390439511
"162","dzuu1241","Mande [mand1469]",1468,55,53,6,4,2,NA,"AGR","Africa",11.3796,-4.92036,TRUE,5098.47558414974
"163","east2398","Atlantic-Congo [atla1278]",906,26,25,2,1,1,NA,"AGR","Africa",10.4987,-4.52253,TRUE,4993.96750782803
"164","east2426","Mande [mand1469]",777,36,35,4,3,1,NA,"AGR","Africa",9.33048,-10.5394,TRUE,5307.63462683176
"165","east2652","Afro-Asiatic [afro1255]",1552,60,58,11,9,2,NA,"AGR","Africa",8.67428,41.4395,TRUE,4330.60167297249
"166","ebir1243","Atlantic-Congo [atla1278]",702,31,30,4,3,1,NA,"AGR","Africa",8.15516,7.06183,TRUE,4133.23852744565
"167","efik1245","Atlantic-Congo [atla1278]",316,20,19,2,1,1,NA,"AGR","Africa",4.89379,8.38121,TRUE,3744.34375077844
"168","egaa1242","Atlantic-Congo [atla1278]",1233,39,37,5,3,2,NA,"AGR","Africa",5.56081,-5.41732,TRUE,4622.49202477465
"169","eggo1239","Atlantic-Congo [atla1278]",873,42,40,10,8,2,NA,"AGR","Africa",8.71442,8.45686,TRUE,4131.14388025589
"170","egyp1253","Afro-Asiatic [afro1255]",132,67,64,26,23,3,"AGR","AGR","Africa",31,31,TRUE,6360.40257617095
"171","ejag1239","Atlantic-Congo [atla1278]",1654,29,28,2,1,1,NA,"AGR","Africa",5.54442,8.90959,TRUE,3787.45724331162
"172","ekpe1253","Atlantic-Congo [atla1278]",874,37,37,5,5,0,NA,"AGR","Africa",5.06715,6.53362,FALSE,3848.3163140317
"173","elip1238","Atlantic-Congo [atla1278]",969,30,29,3,2,1,NA,"AGR","Africa",4.45694,11.193,TRUE,3583.84391422026
"174","eloy1241","Atlantic-Congo [atla1278]",1300,51,47,8,4,4,NA,"AGR","Africa",8.24696,7.97061,TRUE,4103.28521442235
"175","emai1241","Atlantic-Congo [atla1278]",707,48,46,9,7,2,NA,"AGR","Africa",7.09089,5.84494,TRUE,4082.83470992004
"176","enge1239","Atlantic-Congo [atla1278]",708,33,31,4,2,2,NA,"AGR","Africa",5.11931,6.37339,TRUE,3861.36939226102
"177","esim1238","Atlantic-Congo [atla1278]",876,37,35,6,4,2,NA,"AGR","Africa",6.50094,9.86936,TRUE,3846.6284626227
"178","eten1239","Atlantic-Congo [atla1278]",1533,74,70,14,12,4,NA,"AGR","Africa",9.73073,8.61443,TRUE,4229.6581079291
"179","eton1253","Atlantic-Congo [atla1278]",1563,38,37,3,2,1,NA,"AGR","Africa",4.21045,11.3935,TRUE,3550.69178462041
"180","ewee1241","Atlantic-Congo [atla1278]",142,45,43,8,6,2,"AGR","AGR","Africa",6.46061,0.814975,TRUE,4294.33660759614
"181","ewon1239","Atlantic-Congo [atla1278]",709,25,23,4,2,2,NA,"AGR","Africa",4.21141,11.93646,TRUE,3531.04983640662
"182","ezaa1238","Atlantic-Congo [atla1278]",705,38,34,6,4,4,NA,"AGR","Africa",NA,NA,TRUE,NA
"183","fali1285","Afro-Asiatic [afro1255]",1377,50,48,11,9,2,NA,"AGR","Africa",10.5419,13.4087,TRUE,4158.07413252585
"184","fang1246","Atlantic-Congo [atla1278]",877,41,38,5,2,3,NA,"AGR","Africa",1.723965,11.61454,TRUE,3284.00765454198
"185","fang1248","Atlantic-Congo [atla1278]",1621,36,33,4,2,3,NA,"AGR","Africa",6.54384,10.319,TRUE,3833.79743301998
"186","fare1241","Atlantic-Congo [atla1278]",1325,30,28,4,2,2,NA,"AGR","Africa",11.0918,-0.81109,TRUE,4823.37605872301
"187","fefe1239","Atlantic-Congo [atla1278]",710,44,42,8,6,2,NA,"AGR","Africa",5.18158,10.1442,TRUE,3699.43184940307
"188","fern1234","Indo-European [indo1319]",1438,30,28,6,4,2,NA,"AGR","Africa",3.74,8.78,TRUE,3609.74198924586
"189","fipa1238","Atlantic-Congo [atla1278]",1659,35,33,6,4,2,NA,"AGR","Africa",-7.88963,31.3442,TRUE,2194.90936844851
"190","fonn1241","Atlantic-Congo [atla1278]",711,42,40,6,4,2,NA,"AGR","Africa",7.15484,1.66495,TRUE,4309.94051113527
"191","food1238","Atlantic-Congo [atla1278]",1310,44,42,5,3,2,NA,"AGR","Africa",9.56489,1.40486,TRUE,4554.04570176327
"192","fuli1240","Atlantic-Congo [atla1278]",1651,36,34,7,5,2,NA,"AGR","Africa",-3.04022,28.9865,TRUE,2619.06440003303
"193","furr1244","Furan [fura1235]",333,30,29,4,3,1,NA,"AGR","Africa",12.0455,23.6401,TRUE,4201.36090261218
"194","furu1242","Central Sudanic [cent2225]",878,41,39,7,5,2,NA,"AGR","Africa",4.485,20.6448,TRUE,3371.44907463566
